epoch,accuracy,loss,lr
0,0.26976966857910156,0.9799346923828125,0.001
1,0.5285448431968689,0.7658069729804993,0.001
0,0.8157450556755066,0.4815307557582855,0.001
0,0.810560941696167,0.47333067655563354,0.001
0,0.9433127641677856,0.30220332741737366,0.001
1,0.99155193567276,0.10845017433166504,0.001
2,0.9910731911659241,0.07489431649446487,0.001
3,0.9914913177490234,0.06139106675982475,0.001
4,0.9914388060569763,0.053488362580537796,0.001
5,0.9912406206130981,0.04768463596701622,0.001
6,0.9914361834526062,0.043101828545331955,0.001
7,0.9913389086723328,0.03980239853262901,0.001
8,0.9914507865905762,0.0364142470061779,0.001
9,0.9917594194412231,0.0334489680826664,0.001
10,0.9914546608924866,0.03305041790008545,0.001
11,0.9909657835960388,0.044793687760829926,0.001
12,0.991350531578064,0.039204444736242294,0.001
13,0.9915155172348022,0.031940627843141556,0.001
14,0.9915162920951843,0.02817528322339058,0.001
15,0.9912202954292297,0.026357833296060562,0.001
16,0.9918784499168396,0.023511899635195732,0.001
17,0.9914697408676147,0.023031344637274742,0.001
18,0.9918808937072754,0.021220136433839798,0.001
19,0.9916788935661316,0.020874181762337685,0.001
20,0.9917759299278259,0.019700422883033752,0.001
21,0.9920094609260559,0.018714016303420067,0.001
22,0.9916841387748718,0.018949953839182854,0.001
23,0.9919930100440979,0.017919152975082397,0.001
24,0.9920599460601807,0.01724706031382084,0.001
25,0.9921761155128479,0.016650639474391937,0.001
26,0.99202960729599,0.016524948179721832,0.001
27,0.991987943649292,0.016187425702810287,0.001
28,0.9924764037132263,0.015010001137852669,0.001
29,0.9924774169921875,0.014544165693223476,0.001
30,0.992027997970581,0.014846691861748695,0.001
31,0.9927423000335693,0.013781469315290451,0.001
32,0.9924775958061218,0.01374431885778904,0.001
33,0.9928208589553833,0.012898478657007217,0.001
34,0.992631196975708,0.013090896420180798,0.001
35,0.9926118850708008,0.012642055749893188,0.001
36,0.992842435836792,0.012129245325922966,0.001
37,0.9924853444099426,0.012472576461732388,0.001
38,0.9931902885437012,0.011154746636748314,0.001
39,0.9929296970367432,0.011236322112381458,0.001
40,0.9929402470588684,0.011309619061648846,0.001
41,0.9929565191268921,0.011172042228281498,0.001
42,0.9927864670753479,0.011313890106976032,0.001
43,0.9931290745735168,0.010331741534173489,0.001
44,0.993147611618042,0.01002894714474678,0.001
45,0.9932458400726318,0.00957765243947506,0.001
46,0.9934480786323547,0.009300119243562222,0.001
47,0.9932122826576233,0.009626245126128197,0.001
48,0.9932122826576233,0.009485696442425251,0.001
49,0.9931280612945557,0.009649745188653469,0.001
50,0.9933213591575623,0.009242672473192215,0.001
51,0.993374228477478,0.008836856111884117,0.001
52,0.993142306804657,0.008993135765194893,0.001
53,0.9936879277229309,0.008147946558892727,0.001
54,0.9933123588562012,0.008467449806630611,0.001
55,0.9935890436172485,0.008136747404932976,0.001
56,0.9933579564094543,0.008356304839253426,0.001
57,0.9934915900230408,0.008056164719164371,0.001
58,0.9936989545822144,0.007604322396218777,0.001
59,0.9933921098709106,0.007872876711189747,0.001
60,0.9936316013336182,0.007655721623450518,0.001
61,0.9936108589172363,0.0075080785900354385,0.001
62,0.9935129880905151,0.00769313657656312,0.001
63,0.9935628175735474,0.0076211136765778065,0.001
64,0.993557333946228,0.0073366411961615086,0.000100000005
65,0.993883490562439,0.006710904650390148,0.000100000005
66,0.9937945604324341,0.0067242830991744995,0.000100000005
67,0.9936246871948242,0.006781305652111769,0.000100000005
68,0.9940696358680725,0.006355284247547388,0.000100000005
69,0.9937774538993835,0.006559555884450674,0.000100000005
70,0.9939516186714172,0.00641195522621274,0.000100000005
71,0.9938511252403259,0.006512678228318691,0.000100000005
72,0.9937542676925659,0.006572655867785215,0.000100000005
73,0.9939233660697937,0.006425991654396057,0.000100000005
